Komuna ,Gjithsej ,Mjeke ,Stomatologe ,Farmacist ,Teknik medicinal ,Bashkpunetormedicinal ,Punetor jomedicinal
Artane ,8,1,0,0,5,0,2
Dardane ,189,25,4,1,107,0,52
Decan ,151,32,7,0,95,0,17
Dragash ,98,16,5,0,54,0,23
Drenas ,188,22,2,0,120,0,44
F.Kosove ,109,26,4,0,50,1,28
Ferizaj ,605,71,21,0,375,4,134
Gjakove ,1087,171,51,0,594,11,260
Gjilan ,988,184,23,1,537,7,236
Gracanice ,112,23,0,0,48,1,40
Istog ,133,20,4,0,74,0,35
Kacanik ,129,14,4,0,79,2,30
Kastriot ,197,42,6,0,101,4,44
Kline ,142,27,2,0,78,0,35
Laplje Selo ,82,15,0,43,0,24,0
Lypjan ,189,28,7,0,112,1,41
Malisheve ,126,18,3,0,76,0,29
Mitrovice ,642,76,11,0,386,18,151
Peje ,1104,226,32,1,550,17,278
Podujeve ,259,39,5,0,145,1,69
Prishtine ,4373,896,128,3,2335,55,918
Prizren ,1379,252,45,1,765,11,305
Rahovec ,133,20,6,0,74,0,33
Shterpce ,121,23,5,1,70,0,22
Shtime ,76,17,1,0,42,0,16
Skenderaj ,181,17,2,0,120,0,42
Therande ,155,21,8,0,93,1,32
Viti ,176,19,3,0,103,0,51
Vushtrri ,333,41,4,0,223,5,60
