Komuna,Mjekesi familjare,Pediatria,Gjinekologjia,Rentgeni,Urgjenca vizita,Urgj. Vizitat shtepiake,Stomatologjia,Intervencat,Laboratori,Tetjera,Gjithsej
Decan ,113914,98580,14736,162,58182,__,41678,4952,102,38026,370332
Dragash ,78318,24224,9596,34,14396,__,5568,1188,428,2570,136322
Drenas ,23626,19362,9636,24,2,__,13605,6474,12,12702,85444
Ferizaj ,676384,__ ,__ ,__,__,__,36414,1100,312,73876,788086
F.Kosove,349206,61506,21856,__,__,__,10698,4452,2884,24246,474848
Gjakove,218968,96668,__ ,__,__,__,54026,__ ,1626,53394,465788
Gjilan ,917772,__ ,__ ,__,132542,__,134752,1356,12,4,1186438
Istog ,64362,22868,72,__ ,4314,__,2034,__ ,36,__ ,93686
Kline,37318,39082,11610,34,11424,__,12846,782,36,32320,145452
Kamenice,99928,22350,8090,738,__ ,__,19326,__,__ ,6668,157100
Lipjan ,525834,324,27390,72,22820,__,25210,300,378,18,602346
Malisheve,97642,708,24366,114,5364,__,39020,148,54,25196,192612
Mitrovice,214452,__ ,__ ,__,69356,__,32206,10788,1544,3318,331664
Novoberde,23762,__ ,__ ,__,__,__,__ ,42,120,60,23984
Obiliq ,410870,119418,47520,18,156404,__,36084,66,5856,48,776284
Podujeve,185156,44488,2694,354,6552,__,24580,4826,36,10270,278956
Prishtine,167514,70518,18784,__ ,222,222,29120,4784,96,31594,322854
Prizren ,524226,13104,12482,120,9064,__,366,2728,282,55764,618136
Rahovec ,18742,5524,540,__,__,__,2244,126,6,204,27386
Shtime ,198032,__ ,1160,90,6,__,30,520,18,42466,242322
Skenderaj ,119518,52194,22292,30,9078,__,21962,30566,54,23892,279586
Suhareke,169482,58396,11818,108,43056,__,30172,798,18,51748,365596
Viti ,7020,__ ,3094,6,57446,__,19412,102,78,48220,135378
Vushtrri ,241608,__ ,1672,2918,63748,__,31908,4848,6,126,346834
