Grupi i Semundjeve ,Decan ,Dragash ,Drenas ,Ferizaj ,F.Kosove ,Gjakove ,Gjilan ,Istog ,Kline ,Kamenice ,Lipjan ,Malisheve ,Mitrovice ,Novoberde ,Obiliq 
Tumoret ,3414,280,276,3161,1410,1092,1005,1255,7107,19850,6072,2991,3291,5181,426
Semundjet e gjakut dhe organeve hemopoetike dhe crregullimet ,2698,265,540,620,580,292,499,614,2424,9510,8329,1358,2778,2750,865
crreg.endokrinike teushqesh.dhe metabolizmit ,24153,554,935,7078,11006,8527,5801,4224,33560,132996,29863,15003,27533,13200,92
crregullimet psikike dhe te personalitetit ,14269,861,1360,5160,2463,2055,4806,3961,25517,59141,13316,8927,14407,12117,2736
Semundjet SNQ ,11314,411,701,2835,2228,3951,8374,4204,12216,70766,32488,7289,9711,6986,192
Semundjet e syrit ,22772,616,2542,15090,4961,4251,14206,14225,48533,186749,87133,22938,34053,25657,443
Semundjet e veshit dhe procesit mastoid ,2602,24,292,714,307,720,519,414,4014,22476,2259,2178,2596,1446,30
Sem.e sist.te qarkull.te gjakut ,3403,138,517,1603,957,484,794,559,7682,25056,10111,2636,4971,5412,362
Sem e sistemit te frymarrjes ,798,219,358,1888,2145,777,3349,2140,9183,22599,14187,1695,5526,5172,567
Sem e sistemit te tretjes ,12709,1098,998,4053,2336,1464,5026,3934,19135,74964,22195,11276,18023,13000,986
Sem.e lekures dhe indit nenlekuror ,2562,246,672,1584,374,684,1518,1473,9840,23655,22236,3219,5190,5229,237
Sem.e sis.lokomotor dhe indit lidhor ,3144,456,720,3810,2606,2901,2754,2064,16301,29370,24314,5225,13706,7655,210
Semundjet e sistemit urogjenital ,216,20,218,351,120,72,222,108,2154,3210,777,366,1254,852,0
"Shtatezansia,lindja dhe lehona ",17225,2610,2851,11721,7980,5177,7364,6384,38136,101285,31585,13171,19055,25584,1935
Gjend.e cakt.qe rrjedhin nga prridha perinatale ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Komplik.e lindura deformimet dhe anomalit kromozomale ,10548,312,813,3394,2194,3207,2433,1895,13363,46333,17910,5378,9648,6819,726
"Simptomet,shenjat,analizat dhe konstat.abnormale klinike ",5377,760,1191,4748,2010,2385,4039,3155,14931,43504,20571,7406,10488,12660,477
"Lendimet,helmimet dhe disa nga pasojat tjera ",12207,542,882,6607,5908,4804,10354,8667,31190,82059,11505,14967,18145,15838,1029
Shkakt.e jashtem te morbiditetit dhe mortalitetit ,726,12,39,319,220,198,141,471,1677,5058,1731,666,1098,519,252
Fak.qe ndnegjend.shendet.dhe kontk.me sherbim ,4049,288,398,1272,1116,786,1452,1377,11424,34296,2853,3816,5151,4119,84
